"path","review_decision","recommended_action","approved_action","owner_note"
"benchmark/baselines/anthropic_claude-opus-4-6_sql_accuracy_baseline.json","manual_benchmark_retention","track_or_archive_per_benchmark_policy","defer_no_apply_benchmark_policy","Explicitly deferred: benchmark retention/authority policy decision required."
"benchmark/README.md","manual_benchmark_retention","track_or_archive_per_benchmark_policy","defer_no_apply_benchmark_policy","Explicitly deferred: benchmark retention/authority policy decision required."
"benchmark/results/sql_accuracy_run1.json","manual_benchmark_retention","track_or_archive_per_benchmark_policy","defer_no_apply_benchmark_policy","Explicitly deferred: benchmark retention/authority policy decision required."
"benchmark/results/sql_accuracy_run2.json","manual_benchmark_retention","track_or_archive_per_benchmark_policy","defer_no_apply_benchmark_policy","Explicitly deferred: benchmark retention/authority policy decision required."
"benchmark/results/sql_accuracy_run3.json","manual_benchmark_retention","track_or_archive_per_benchmark_policy","defer_no_apply_benchmark_policy","Explicitly deferred: benchmark retention/authority policy decision required."
"benchmark/subagent_routing_matrix.yaml","manual_benchmark_retention","track_or_archive_per_benchmark_policy","defer_no_apply_benchmark_policy","Explicitly deferred: benchmark retention/authority policy decision required."
"benchmark/suites/sql_accuracy.yaml","manual_benchmark_retention","track_or_archive_per_benchmark_policy","defer_no_apply_benchmark_policy","Explicitly deferred: benchmark retention/authority policy decision required."
".gitignore","manual_commit_or_revert","commit_or_revert_in_scoped_change","defer_no_apply_commit_or_revert","Explicitly deferred: decide commit vs revert in scoped code/doc review."
"docs/ARTIFACT_POLICY.md","manual_commit_or_revert","commit_or_revert_in_scoped_change","defer_no_apply_commit_or_revert","Explicitly deferred: decide commit vs revert in scoped code/doc review."
"docs/decision log.md","manual_commit_or_revert","commit_or_revert_in_scoped_change","defer_no_apply_commit_or_revert","Explicitly deferred: decide commit vs revert in scoped code/doc review."
"docs/handover/gemini/phase24_gemini_handover.md","manual_commit_or_revert","commit_or_revert_in_scoped_change","defer_no_apply_commit_or_revert","Explicitly deferred: decide commit vs revert in scoped code/doc review."
"docs/runbook_ops.md","manual_commit_or_revert","commit_or_revert_in_scoped_change","defer_no_apply_commit_or_revert","Explicitly deferred: decide commit vs revert in scoped code/doc review."
"OPERATOR_LOOP_GUIDE.md","manual_commit_or_revert","commit_or_revert_in_scoped_change","defer_no_apply_commit_or_revert","Explicitly deferred: decide commit vs revert in scoped code/doc review."
"pyproject.toml","manual_commit_or_revert","commit_or_revert_in_scoped_change","defer_no_apply_commit_or_revert","Explicitly deferred: decide commit vs revert in scoped code/doc review."
"README.md","manual_commit_or_revert","commit_or_revert_in_scoped_change","defer_no_apply_commit_or_revert","Explicitly deferred: decide commit vs revert in scoped code/doc review."
"scripts/loop_cycle_artifacts.py","manual_commit_or_revert","commit_or_revert_in_scoped_change","defer_no_apply_commit_or_revert","Explicitly deferred: decide commit vs revert in scoped code/doc review."
"scripts/loop_cycle_runtime.py","manual_commit_or_revert","commit_or_revert_in_scoped_change","defer_no_apply_commit_or_revert","Explicitly deferred: decide commit vs revert in scoped code/doc review."
